epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,49.9816,1.00491,1.18152,1.1229,0.46766,0.08658,0.15678,0.09015,1.60766,2.27754,1.41428,0.000557759,0.000557759,0.000557759
42,51.1012,0.98631,1.41372,1.09636,0.7833,0.18669,0.2175,0.11462,1.62887,2.30907,1.44043,0.000552572,0.000552572,0.000552572
43,52.2039,0.93203,1.27311,1.10414,0.79203,0.24423,0.28228,0.16618,1.65407,2.2733,1.45373,0.00054729,0.00054729,0.00054729
44,53.3647,0.95104,1.24458,1.0628,0.82124,0.2482,0.29065,0.15343,1.63411,2.13607,1.44114,0.000541916,0.000541916,0.000541916
45,54.4818,0.92894,1.20723,1.08814,0.79956,0.2527,0.34562,0.18838,1.6361,2.09797,1.43442,0.000536452,0.000536452,0.000536452
46,55.5886,0.99052,1.23826,1.10675,0.54621,0.37031,0.40203,0.21708,1.6257,2.0164,1.41407,0.000530901,0.000530901,0.000530901
47,56.6809,0.93029,1.21868,1.06943,0.59152,0.37428,0.41506,0.20493,1.65354,1.91751,1.43622,0.000525265,0.000525265,0.000525265
48,57.796,0.91266,1.27217,1.11718,0.71116,0.37466,0.4314,0.23636,1.63508,1.92983,1.43617,0.000519546,0.000519546,0.000519546
49,58.8903,1.05109,1.2494,1.16313,0.6306,0.32214,0.40173,0.23576,1.59782,1.89589,1.39691,0.000513746,0.000513746,0.000513746
50,60.0004,0.93983,1.13345,1.06591,0.6395,0.31787,0.39654,0.25665,1.57844,1.81613,1.3881,0.000507869,0.000507869,0.000507869
51,61.127,0.95299,1.07065,1.02164,0.62289,0.31771,0.29847,0.19096,1.58592,1.78967,1.39981,0.000501917,0.000501917,0.000501917
52,62.2563,1.00761,1.17117,1.03703,0.49291,0.32144,0.25897,0.17412,1.62504,1.79189,1.41644,0.000495893,0.000495893,0.000495893
53,63.3711,0.95832,1.1999,1.10006,0.49732,0.36459,0.28252,0.17902,1.60055,1.85078,1.42798,0.000489799,0.000489799,0.000489799
54,64.4406,0.92163,1.1448,0.98681,0.48394,0.31403,0.26466,0.1648,1.58458,1.86143,1.45056,0.000483638,0.000483638,0.000483638
55,65.5487,0.95955,1.1512,1.04921,0.56113,0.40693,0.30121,0.19287,1.58243,1.90461,1.47576,0.000477412,0.000477412,0.000477412
56,66.7835,0.90357,1.06336,1.04348,0.84238,0.21222,0.30893,0.16221,1.58565,1.92107,1.40557,0.000471125,0.000471125,0.000471125
57,67.8828,0.8478,0.98505,1.01824,0.69239,0.23828,0.29917,0.14742,1.58032,1.93083,1.39919,0.000464779,0.000464779,0.000464779
58,69.01,0.8552,1.03131,1.02869,0.65981,0.3483,0.34876,0.15366,1.56085,1.96182,1.40213,0.000458377,0.000458377,0.000458377
59,70.1036,0.92309,1.0914,1.05143,0.70398,0.33475,0.34649,0.15687,1.54112,1.96107,1.39725,0.000451921,0.000451921,0.000451921
60,71.2579,0.85535,1.11303,1.02548,0.48269,0.36044,0.33074,0.1492,1.54872,1.91137,1.40648,0.000445415,0.000445415,0.000445415
61,72.3527,0.99815,1.28356,1.17867,0.39305,0.3586,0.31131,0.15283,1.56551,1.97705,1.40232,0.000438862,0.000438862,0.000438862
62,73.4481,0.85627,0.98095,0.97817,0.38312,0.31204,0.30908,0.16554,1.57161,2.03146,1.3979,0.000432263,0.000432263,0.000432263
63,74.548,0.94392,1.29146,1.10959,0.34037,0.14196,0.31545,0.18076,1.58679,2.08594,1.37593,0.000425623,0.000425623,0.000425623
64,75.6883,0.88389,1.2491,1.11312,0.35027,0.14502,0.21806,0.14556,1.58276,1.97818,1.37863,0.000418944,0.000418944,0.000418944
65,76.7876,0.88006,1.06072,1.03606,0.47671,0.1351,0.20271,0.12941,1.61753,1.95083,1.39566,0.000412228,0.000412228,0.000412228
66,77.8903,0.75651,1.20521,1.00941,0.47588,0.14015,0.21254,0.13401,1.64769,1.9137,1.4136,0.00040548,0.00040548,0.00040548
67,78.9798,0.88943,1.04807,0.99249,0.44481,0.19679,0.20233,0.1237,1.62524,1.89777,1.42456,0.000398702,0.000398702,0.000398702
68,80.0851,0.95902,1.04951,1.02435,0.59957,0.22739,0.24801,0.12067,1.66677,1.8296,1.44535,0.000391896,0.000391896,0.000391896
69,81.2102,0.77146,0.96889,0.99026,0.60754,0.20962,0.24746,0.13473,1.68358,1.8438,1.46721,0.000385067,0.000385067,0.000385067
70,82.3179,0.87923,1.04245,0.98649,0.62481,0.22638,0.26073,0.1475,1.67668,1.84764,1.45722,0.000378216,0.000378216,0.000378216
71,83.4107,0.82542,0.93101,1.00188,0.60853,0.23829,0.26243,0.14198,1.67628,1.87094,1.46595,0.000371347,0.000371347,0.000371347
72,84.5243,0.80932,0.96297,1.02042,0.45673,0.27205,0.28512,0.15186,1.72048,1.93882,1.46211,0.000364462,0.000364462,0.000364462
73,85.6135,0.8595,1.04573,1.02653,0.3514,0.2765,0.29275,0.14548,1.70138,1.96427,1.45167,0.000357566,0.000357566,0.000357566
74,86.817,0.80262,0.93389,0.96811,0.39605,0.36018,0.3274,0.15511,1.72401,1.96629,1.46774,0.000350661,0.000350661,0.000350661
75,87.9242,0.83818,0.96681,1.02399,0.37164,0.36074,0.32208,0.15285,1.77033,1.9691,1.50556,0.000343749,0.000343749,0.000343749
76,89.0664,0.77197,1.0081,1.00489,0.38497,0.35471,0.33444,0.1496,1.80281,2.01068,1.52191,0.000336835,0.000336835,0.000336835
77,90.1761,0.74615,0.86644,0.97246,0.36222,0.28211,0.25322,0.14807,1.79508,2.03593,1.52088,0.000329921,0.000329921,0.000329921
78,91.287,0.84207,0.93472,1.01468,0.34407,0.28062,0.24486,0.15024,1.74625,2.10626,1.4752,0.000323009,0.000323009,0.000323009
79,92.4042,0.84726,0.94681,1.12209,0.33384,0.27994,0.23058,0.14843,1.70929,2.21401,1.46383,0.000316104,0.000316104,0.000316104
80,93.6131,0.87261,1.09762,0.99264,0.35565,0.26464,0.26871,0.19638,1.69131,2.15645,1.4794,0.000309208,0.000309208,0.000309208
