epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,67.1418,0.85576,1.10684,0.96496,0.55572,0.24571,0.29009,0.17139,1.48438,1.98097,1.34225,0.000305764,0.000305764,0.000305764
55,68.3149,0.91245,1.09344,1.01501,0.57844,0.2114,0.308,0.19107,1.52236,2.03561,1.37044,0.000295454,0.000295454,0.000295454
56,69.6096,0.8095,1.01519,1.00205,0.85147,0.2095,0.46454,0.27447,1.52969,2.03598,1.41672,0.000285186,0.000285186,0.000285186
57,70.7699,0.80942,0.97118,0.99698,0.43384,0.23593,0.41233,0.23943,1.55008,2.00648,1.44389,0.000274968,0.000274968,0.000274968
58,71.9163,0.79787,1.01433,1.01949,0.40891,0.34418,0.38676,0.23531,1.56317,2.01214,1.47442,0.000264812,0.000264812,0.000264812
59,73.0839,0.9255,1.04867,1.06128,0.60166,0.33838,0.38973,0.22122,1.56332,2.0343,1.48019,0.000254726,0.000254726,0.000254726
60,74.3064,0.8156,1.10715,1.01793,0.64126,0.3364,0.38492,0.2386,1.58002,1.99916,1.48132,0.000244722,0.000244722,0.000244722
61,75.4463,1.03138,1.15004,1.20612,0.66146,0.34542,0.37913,0.22458,1.59982,1.9634,1.48652,0.000234808,0.000234808,0.000234808
62,76.5923,0.81798,0.97828,0.97546,0.43238,0.35421,0.36852,0.22142,1.59331,1.97426,1.44998,0.000224996,0.000224996,0.000224996
63,77.7479,0.89954,1.17263,1.10135,0.50538,0.36793,0.36516,0.21226,1.57853,1.96221,1.43007,0.000215293,0.000215293,0.000215293
64,78.9759,0.79777,1.17081,1.09199,0.64511,0.26377,0.36026,0.21151,1.55762,1.95076,1.41668,0.000205711,0.000205711,0.000205711
65,80.136,0.82877,0.99658,1.00601,0.57789,0.23326,0.36041,0.21523,1.55048,1.98309,1.40594,0.000196258,0.000196258,0.000196258
66,81.282,0.72503,1.18089,0.99082,0.58446,0.2382,0.35943,0.21622,1.55385,1.98409,1.39919,0.000186943,0.000186943,0.000186943
67,82.4533,0.8693,0.99757,0.95088,0.58782,0.24365,0.35102,0.21058,1.54179,1.96361,1.39028,0.000177777,0.000177777,0.000177777
68,83.6461,0.87327,0.99138,0.98506,0.44606,0.35642,0.35405,0.22148,1.53568,1.93153,1.39571,0.000168767,0.000168767,0.000168767
69,84.8072,0.74019,0.93976,0.9843,0.5437,0.35642,0.35397,0.2257,1.51843,1.91105,1.37768,0.000159924,0.000159924,0.000159924
70,85.9606,0.88141,1.11883,0.98704,0.56215,0.35275,0.34872,0.21497,1.50177,1.88635,1.35923,0.000151255,0.000151255,0.000151255
