epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.96018,1.06473,3.98784,1.17099,0.00618,0.45942,0.07414,0.04788,1.05378,3.91529,1.07744,2.668e-05,2.668e-05,2.668e-05
2,5.2455,1.15951,4.02148,1.20899,0.00798,0.4614,0.08635,0.06829,1.04093,3.90615,1.06912,6.00153e-05,6.00153e-05,6.00153e-05
3,6.57887,1.13856,3.881,1.15033,0.01418,0.49513,0.10975,0.08505,1.06065,3.87192,1.06,9.32888e-05,9.32888e-05,9.32888e-05
4,7.79693,1.15506,3.39273,1.17081,0.0178,0.57846,0.11735,0.08759,1.10384,3.84463,1.06173,0.000126452,0.000126452,0.000126452
5,9.03896,1.2829,3.22236,1.30884,0.02102,0.47132,0.12137,0.08491,1.10429,3.77152,1.07054,0.000159455,0.000159455,0.000159455
6,10.2429,1.12009,2.6225,1.17818,0.01949,0.44553,0.12446,0.08413,1.14406,3.66322,1.09829,0.000192251,0.000192251,0.000192251
7,11.4858,1.16915,2.53895,1.20583,0.76893,0.04762,0.10547,0.07673,1.1854,3.45855,1.14046,0.000224792,0.000224792,0.000224792
8,12.7157,1.15711,2.25864,1.13299,0.91925,0.0363,0.1102,0.07817,1.23781,3.38062,1.16314,0.000257029,0.000257029,0.000257029
9,14.0929,1.18594,2.18751,1.23071,0.56459,0.11508,0.15997,0.08802,1.36788,3.35254,1.22504,0.000288916,0.000288916,0.000288916
10,15.2934,1.13545,1.97099,1.22404,0.01627,0.58333,0.16034,0.09611,1.38772,3.32163,1.24458,0.000320406,0.000320406,0.000320406
11,16.501,1.26295,2.12008,1.21314,0.91095,0.04983,0.16565,0.09663,1.39337,3.2784,1.24668,0.000351454,0.000351454,0.000351454
12,17.7034,1.21679,2.02652,1.22236,0.93484,0.09571,0.25862,0.16167,1.38688,3.11692,1.22609,0.000382014,0.000382014,0.000382014
13,18.8576,1.2353,2.32331,1.22593,0.91787,0.07411,0.27342,0.18132,1.40109,2.98597,1.24992,0.000412041,0.000412041,0.000412041
14,20.0581,1.14184,1.95643,1.16601,0.84601,0.13837,0.34379,0.22517,1.48102,2.72649,1.31347,0.000441493,0.000441493,0.000441493
15,21.2281,1.03932,1.71576,1.16258,0.86024,0.1369,0.39558,0.22809,1.55099,2.62544,1.36098,0.000470327,0.000470327,0.000470327
16,22.3728,1.11992,1.74854,1.14083,0.88436,0.1369,0.48302,0.24151,1.55373,2.64225,1.38224,0.000498501,0.000498501,0.000498501
17,23.5629,1.17591,1.8149,1.19821,0.90993,0.18475,0.38683,0.25619,1.58165,2.69412,1.47113,0.000525975,0.000525975,0.000525975
18,24.7643,1.22147,1.82477,1.28285,0.80519,0.25973,0.37815,0.23891,1.57902,2.56307,1.49967,0.000552709,0.000552709,0.000552709
19,25.9221,1.104,1.56293,1.1367,0.8274,0.18406,0.33874,0.21847,1.53813,2.40074,1.48414,0.000578666,0.000578666,0.000578666
20,27.1207,1.06657,1.57458,1.23524,0.86847,0.2005,0.25907,0.17225,1.60276,2.33032,1.51634,0.000603809,0.000603809,0.000603809
21,28.2726,1.00446,1.55704,1.18084,0.72124,0.20669,0.28155,0.18406,1.64815,2.43927,1.50768,0.000603944,0.000603944,0.000603944
22,29.5557,1.08556,1.55273,1.11777,0.83094,0.25512,0.30785,0.19268,1.66617,2.54024,1.53052,0.000597717,0.000597717,0.000597717
23,30.7184,1.02368,1.55814,1.16042,0.66482,0.26587,0.38547,0.2377,1.68015,2.53281,1.52654,0.000591232,0.000591232,0.000591232
24,31.9055,1.10818,1.46829,1.18048,0.7107,0.3713,0.40832,0.25865,1.75531,2.53278,1.61152,0.000584495,0.000584495,0.000584495
25,33.0827,0.97302,1.4445,1.09965,0.6932,0.12897,0.35808,0.25492,1.77486,2.51802,1.67318,0.000577515,0.000577515,0.000577515
26,34.2317,1.09391,1.41823,1.16703,0.93537,0.10819,0.30047,0.19368,1.82232,2.37723,1.68591,0.000570297,0.000570297,0.000570297
27,35.4099,1.02911,1.35947,1.14736,0.90514,0.10623,0.25836,0.15974,1.77438,2.34633,1.61628,0.000562848,0.000562848,0.000562848
28,36.6103,1.15423,1.48745,1.15569,0.81475,0.16334,0.25314,0.16135,1.74311,2.27884,1.5826,0.000555177,0.000555177,0.000555177
29,37.7747,1.02556,1.41764,1.09107,0.86126,0.14996,0.23208,0.16086,1.71957,2.30526,1.51601,0.00054729,0.00054729,0.00054729
30,38.9331,1.05533,1.65371,1.19634,0.82174,0.21055,0.28763,0.16804,1.70326,2.26675,1.49476,0.000539195,0.000539195,0.000539195
31,40.0903,0.98089,1.2603,1.04626,0.55897,0.24552,0.29076,0.17688,1.71671,2.23448,1.49509,0.000530901,0.000530901,0.000530901
32,41.2728,1.0604,1.55312,1.17092,0.78086,0.25822,0.31099,0.18953,1.72307,2.21454,1.4892,0.000522415,0.000522415,0.000522415
33,42.437,1.20622,1.46503,1.26096,0.67541,0.25492,0.31375,0.19918,1.61899,2.13323,1.42489,0.000513746,0.000513746,0.000513746
34,43.5919,0.97374,1.37252,1.08531,0.69232,0.25319,0.32549,0.20441,1.57844,2.06442,1.42122,0.000504903,0.000504903,0.000504903
35,44.7643,0.956,1.33173,1.10294,0.60246,0.27246,0.30344,0.16925,1.56283,1.98912,1.41309,0.000495893,0.000495893,0.000495893
36,45.9666,0.9117,1.46504,1.0937,0.54096,0.30003,0.32231,0.18584,1.52416,2.00365,1.36951,0.000486727,0.000486727,0.000486727
37,47.1355,1.06077,1.38252,1.1146,0.52311,0.2998,0.37183,0.23201,1.50815,2.02103,1.35581,0.000477412,0.000477412,0.000477412
38,48.2818,1.00485,1.28152,1.11026,0.50643,0.29383,0.3986,0.2662,1.48519,1.97972,1.32653,0.000467959,0.000467959,0.000467959
39,49.563,0.9475,1.19593,1.12302,0.54006,0.27567,0.39331,0.28445,1.4862,2.01844,1.31708,0.000458377,0.000458377,0.000458377
40,50.7585,1.00698,1.26364,1.08593,0.40246,0.41811,0.40493,0.28959,1.49399,2.00834,1.3355,0.000448674,0.000448674,0.000448674
41,51.9217,0.95105,1.1223,1.09676,0.41422,0.42208,0.4078,0.27315,1.51423,1.97644,1.34543,0.000438862,0.000438862,0.000438862
42,53.0773,0.90161,1.3159,1.0602,0.40659,0.42208,0.38093,0.25894,1.53289,1.95668,1.35449,0.000428948,0.000428948,0.000428948
43,54.2355,0.87779,1.26284,1.09133,0.40179,0.37231,0.38189,0.23478,1.54994,1.96877,1.38684,0.000418944,0.000418944,0.000418944
44,55.4158,0.92317,1.17201,1.04401,0.39464,0.34877,0.34711,0.21535,1.57807,2.03148,1.40717,0.000408858,0.000408858,0.000408858
45,56.5764,0.90643,1.19176,1.08534,0.5142,0.23539,0.34835,0.21374,1.6002,2.05895,1.43073,0.000398702,0.000398702,0.000398702
46,57.7518,0.91636,1.2239,1.06989,0.57536,0.29095,0.37351,0.22321,1.58658,2.0307,1.43057,0.000388484,0.000388484,0.000388484
47,58.9125,0.91902,1.11467,1.0592,0.60902,0.28625,0.3757,0.19887,1.54486,1.96984,1.3804,0.000378216,0.000378216,0.000378216
48,60.1208,0.8352,1.21326,1.06262,0.66111,0.28528,0.29056,0.16958,1.50888,1.92817,1.35325,0.000367906,0.000367906,0.000367906
49,61.263,1.0464,1.2371,1.14689,0.62391,0.27965,0.29825,0.17182,1.53952,1.9321,1.3733,0.000357566,0.000357566,0.000357566
50,62.44,0.91589,1.11991,1.07342,0.50987,0.27461,0.29793,0.18009,1.54699,1.88502,1.37731,0.000347206,0.000347206,0.000347206
51,63.6228,0.86921,1.02026,0.99447,0.45287,0.23541,0.29311,0.1819,1.55392,1.90457,1.38865,0.000336835,0.000336835,0.000336835
52,64.8197,0.95895,1.15182,1.0277,0.56832,0.2388,0.29131,0.17368,1.46769,1.891,1.33872,0.000326464,0.000326464,0.000326464
53,65.9972,0.89798,1.16475,1.10744,0.58782,0.26988,0.29276,0.1662,1.48252,1.91059,1.35299,0.000316104,0.000316104,0.000316104
