epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2146,1.17657,1.35201,1.22318,0.66958,0.52682,0.61565,0.45855,1.08561,1.12475,1.12235,8.33e-06,8.33e-06,8.33e-06
2,72.5314,1.16663,1.41654,1.23852,0.6844,0.53342,0.62697,0.46551,1.08122,1.10425,1.11949,9.01425e-06,9.01425e-06,9.01425e-06
